rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
104,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",value__benford_correlation,"value__fft_coefficient__attr_""imag""__coeff_79","value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)"
105,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","value__fft_coefficient__attr_""imag""__coeff_94","value__fft_coefficient__attr_""real""__coeff_1","value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)"
106,"value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_10","value__fft_coefficient__attr_""abs""__coeff_94","value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)"
107,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","value__fft_coefficient__attr_""real""__coeff_89","value__fft_coefficient__attr_""imag""__coeff_20","value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)"
108,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_26",value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,"value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)"
109,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","value__fft_coefficient__attr_""imag""__coeff_92","value__linear_trend__attr_""stderr""","value__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)"
110,"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_43",value__number_crossing_m__m_-1,"value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)"
111,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_54","value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)"
112,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",value__large_standard_deviation__r_0.4,"value__fft_coefficient__attr_""abs""__coeff_88","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)"
113,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6","value__fft_coefficient__attr_""angle""__coeff_63","value__fft_coefficient__attr_""imag""__coeff_76","value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)"
114,"value__fft_coefficient__attr_""real""__coeff_1","value__fft_coefficient__attr_""imag""__coeff_81","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)"
115,"value__fft_coefficient__attr_""real""__coeff_76","value__fft_coefficient__attr_""real""__coeff_49","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)"
116,"value__fft_coefficient__attr_""real""__coeff_94","value__fft_coefficient__attr_""real""__coeff_65","value__fft_coefficient__attr_""abs""__coeff_64","value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)"
117,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","value__fft_coefficient__attr_""real""__coeff_25","value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",value__spkt_welch_density__coeff_2
118,"value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_51",value__index_mass_quantile__q_0.9,"value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",value__spkt_welch_density__coeff_5
119,"value__fft_coefficient__attr_""imag""__coeff_3","value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""imag""__coeff_43","value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",value__spkt_welch_density__coeff_8
120,"value__fft_coefficient__attr_""real""__coeff_71","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",value__ar_coefficient__coeff_0__k_10
121,"value__fft_coefficient__attr_""real""__coeff_73","value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""","value__fft_coefficient__attr_""real""__coeff_73","value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",value__ar_coefficient__coeff_1__k_10
122,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__lempel_ziv_complexity__bins_5,"value__fft_coefficient__attr_""abs""__coeff_76","value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",value__ar_coefficient__coeff_2__k_10
123,"value__fft_aggregated__aggtype_""variance""",value__ratio_beyond_r_sigma__r_3,"value__fft_coefficient__attr_""real""__coeff_96","value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",value__ar_coefficient__coeff_3__k_10
124,"value__fft_coefficient__attr_""imag""__coeff_41","value__fft_coefficient__attr_""angle""__coeff_39",value__large_standard_deviation__r_0.25,"value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",value__ar_coefficient__coeff_4__k_10
125,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_42",value__spkt_welch_density__coeff_2,value__ar_coefficient__coeff_5__k_10
126,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,"value__fft_coefficient__attr_""imag""__coeff_62","value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",value__spkt_welch_density__coeff_5,value__ar_coefficient__coeff_6__k_10
127,"value__fft_coefficient__attr_""imag""__coeff_37","value__fft_coefficient__attr_""imag""__coeff_85","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",value__spkt_welch_density__coeff_8,value__ar_coefficient__coeff_7__k_10
128,"value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_24","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",value__ar_coefficient__coeff_0__k_10,value__ar_coefficient__coeff_8__k_10
129,"value__fft_coefficient__attr_""real""__coeff_54","value__fft_coefficient__attr_""imag""__coeff_71","value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__ar_coefficient__coeff_1__k_10,value__ar_coefficient__coeff_9__k_10
130,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","value__fft_coefficient__attr_""real""__coeff_92","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",value__ar_coefficient__coeff_2__k_10,value__ar_coefficient__coeff_10__k_10
131,"value__fft_coefficient__attr_""imag""__coeff_62",value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,"value__fft_coefficient__attr_""abs""__coeff_78",value__ar_coefficient__coeff_3__k_10,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0"
132,"value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_89","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",value__ar_coefficient__coeff_4__k_10,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0"
133,"value__fft_coefficient__attr_""real""__coeff_51","value__fft_coefficient__attr_""angle""__coeff_53","value__fft_coefficient__attr_""real""__coeff_87",value__ar_coefficient__coeff_5__k_10,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0"
134,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",value__spkt_welch_density__coeff_5,"value__fft_coefficient__attr_""abs""__coeff_3",value__ar_coefficient__coeff_6__k_10,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0"
135,"value__fft_coefficient__attr_""imag""__coeff_6","value__fft_coefficient__attr_""imag""__coeff_75",value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,value__ar_coefficient__coeff_7__k_10,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0"
136,"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","value__fft_coefficient__attr_""abs""__coeff_70",value__ar_coefficient__coeff_8__k_10,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0"
137,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6","value__fft_coefficient__attr_""real""__coeff_34","value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",value__ar_coefficient__coeff_9__k_10,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0"
138,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,"value__fft_coefficient__attr_""abs""__coeff_56",value__first_location_of_minimum,value__ar_coefficient__coeff_10__k_10,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0"
139,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","value__fft_coefficient__attr_""real""__coeff_64","value__fft_coefficient__attr_""real""__coeff_71","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0"
140,"value__fft_coefficient__attr_""real""__coeff_44","value__fft_coefficient__attr_""angle""__coeff_88","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0"
141,"value__fft_coefficient__attr_""real""__coeff_82","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",value__ratio_beyond_r_sigma__r_3,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0"
142,"value__fft_coefficient__attr_""imag""__coeff_27","value__fft_coefficient__attr_""real""__coeff_7","value__fft_coefficient__attr_""abs""__coeff_92","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0"
143,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","value__fft_coefficient__attr_""real""__coeff_75",value__friedrich_coefficients__coeff_2__m_3__r_30,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0"
144,"value__fft_coefficient__attr_""imag""__coeff_64","value__fft_coefficient__attr_""imag""__coeff_87","value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0"
145,"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_30",value__index_mass_quantile__q_0.4,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0"
146,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_57","value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0"
147,"value__fft_coefficient__attr_""imag""__coeff_71","value__fft_coefficient__attr_""imag""__coeff_57","value__fft_coefficient__attr_""imag""__coeff_23","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
148,"value__fft_coefficient__attr_""real""__coeff_46",value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__fft_coefficient__attr_""abs""__coeff_80","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0"
149,"value__fft_aggregated__aggtype_""centroid""","value__fft_coefficient__attr_""imag""__coeff_95","value__fft_coefficient__attr_""abs""__coeff_96","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0"
150,"value__fft_coefficient__attr_""imag""__coeff_2","value__fft_coefficient__attr_""imag""__coeff_84",value__last_location_of_minimum,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2"
151,"value__fft_coefficient__attr_""real""__coeff_81","value__fft_coefficient__attr_""imag""__coeff_73","value__fft_coefficient__attr_""real""__coeff_37","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2"
152,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_72","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2"
153,"value__fft_coefficient__attr_""real""__coeff_80","value__fft_coefficient__attr_""abs""__coeff_98","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2"
154,"value__fft_coefficient__attr_""real""__coeff_37","value__fft_coefficient__attr_""imag""__coeff_64","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2"
155,"value__fft_coefficient__attr_""real""__coeff_91","value__fft_coefficient__attr_""real""__coeff_93","value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2"
156,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","value__fft_coefficient__attr_""real""__coeff_29",value__index_mass_quantile__q_0.8,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2"
157,"value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_11","value__fft_coefficient__attr_""abs""__coeff_89","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2"
158,"value__fft_coefficient__attr_""real""__coeff_42","value__fft_coefficient__attr_""imag""__coeff_83","value__fft_coefficient__attr_""imag""__coeff_26","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2"
159,"value__fft_coefficient__attr_""imag""__coeff_24",value__index_mass_quantile__q_0.9,"value__fft_coefficient__attr_""real""__coeff_46","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2"
160,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8","value__fft_coefficient__attr_""real""__coeff_24","value__fft_coefficient__attr_""real""__coeff_51","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2"
161,value__index_mass_quantile__q_0.7,"value__fft_coefficient__attr_""imag""__coeff_77",value__spkt_welch_density__coeff_8,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2"
162,"value__fft_coefficient__attr_""imag""__coeff_26","value__fft_coefficient__attr_""angle""__coeff_40","value__fft_coefficient__attr_""real""__coeff_2","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2"
163,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",value__has_duplicate_min,"value__fft_coefficient__attr_""imag""__coeff_27","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2"
164,"value__fft_coefficient__attr_""real""__coeff_84","value__fft_coefficient__attr_""angle""__coeff_27","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2"
165,"value__fft_aggregated__aggtype_""kurtosis""","value__fft_coefficient__attr_""abs""__coeff_62","value__fft_coefficient__attr_""real""__coeff_13","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2"
166,value__friedrich_coefficients__coeff_0__m_3__r_30,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","value__fft_coefficient__attr_""abs""__coeff_77","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4"
167,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","value__fft_coefficient__attr_""angle""__coeff_53","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4"
